"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"10324" "Cnidaria" "Anthozoa" "Auloporida" "Pyrgiidae" "Cladochonus" 443.4 252.17 21 52
"10506" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Cladocora" 150.8 0 69 94
"10649" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Cladophyllia" 189.6 56 61 83
"10784" "Cnidaria" "Anthozoa" "Favositida" "Pachyporidae" "Cladopora" 443.4 259.9 21 49
"11022" "Cnidaria" "Anthozoa" "Scleractinia" "Montlivaltiidae" "Clausastrea" 175.6 70.6 62 81
"11128" "Cnidaria" "Anthozoa" "Stauriida" "Antiphyllidae" "Claviphyllum" 339.4 318.1 37 39
"11134" "Cnidaria" "Anthozoa" "Favositida" "Cleistoporidae" "Cleistopora" 358.9 298.9 36 42
"11138" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Clisiophyllum" 438.5 252.17 23 52
"11216" "Cnidaria" "Anthozoa" "Scleractinia" "Stylophyllidae" "Coccophyllum" 228 182.7 57 61
"11226" "Cnidaria" "Anthozoa" "Heliolitida" "Coccoserididae" "Coccoseris" 460.9 443.4 17 21
"11252" "Cnidaria" "Anthozoa" "Scleractinia" "Rhipidogyridae" "Codonosmilia" 168.3 161.2 65 67
"11256" "Cnidaria" "Anthozoa" "Scleractinia" "Merulinidae" "Coelastrea" 11.608 0.0117 92 94
"11275" "Cnidaria" "Anthozoa" "Scleractinia" "Agariciidae" "Coeloseris" 5.333 0 93 94
"11291" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Coelosmilia" 167.7 61.6 65 82
"11307" "Cnidaria" "Anthozoa" "Scleractinia" "Actinastreidae" "Coenastraea" 189.6 155.7 61 68
"11321" "Cnidaria" "Anthozoa" "Favositida" "Coenitidae" "Coenites" 443.4 353.8 21 36
"11498" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Coenocyathus" 20.44 3.6 90 93
"11507" "Cnidaria" "Anthozoa" "Scleractinia" "Latomeandridae" "Collignonastraea" 182.7 70.6 62 81
"11534" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Colpophyllia" 83.5 0 80 94
